Groups:
Filter:Filter_0_inst|Filter_bits[11..0] =, Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0],  signed decimal

Data:
time unit: s, Filter:Filter_0_inst|Filter_bits[11..0], Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, 
196, 59, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
197, 61, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 
198, 61, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 
199, 57, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
200, 50, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
201, 41, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
202, 30, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
203, 18, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
204, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
205, -8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
206, -21, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 
207, -32, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
208, -41, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 
209, -48, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
210, -52, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
211, -54, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
212, -53, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 
213, -49, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
214, -43, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 
215, -34, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 
216, -24, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
217, -12, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
218, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
219, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
220, 28, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
221, 39, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
222, 49, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 
223, 56, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
224, 61, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 
225, 63, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
226, 61, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 
227, 57, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
228, 50, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
229, 40, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
230, 29, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 
231, 16, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
232, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
233, -10, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
234, -23, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 
235, -33, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 
236, -42, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
237, -49, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
238, -53, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 
239, -54, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
240, -53, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 
241, -49, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
242, -42, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
243, -33, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 
244, -22, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 
245, -10, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
246, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
247, 17, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 
248, 30, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
249, 41, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
250, 50, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
251, 57, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
252, 62, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
